单词词法分析程序运行结果如下：
      word                type               value
       for                   8                 for
         (                   9                   (
         i                  20                   i
         =                  13                   =
         1                  14                   1
         ;                  19                   ;
         i                  20                   i
         <                  15                   <
         4                  14                   4
         ;                  19                   ;
         i                  20                   i
         +                  17                   +
         +                  17                   +
         )                  10                   )
         {                  11                   {
         c                  20                   c
         =                  13                   =
         b                  20                   b
         +                  17                   +
         a                  20                   a
         ;                  19                   ;
         }                  12                   }
